,artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
288,The All-American Rejects,Logged In,Ainsley,F,66,Farley,260.77995,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Your Star,200,1538370036000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
289,Muse,Logged In,Faigy,F,10,Howe,209.34485,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Supermassive Black Hole (Album Version),200,1538370059000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
290,,Logged In,Faigy,F,11,Howe,,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,Add to Playlist,1538211832000.0,248,,200,1538370071000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
291,Sheena Easton,Logged In,Madison,F,7,Morales,239.62077,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Strut (1993 Digital Remaster),200,1538370161000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
292,,Logged In,Alex,M,44,Hogan,,free,"Denver-Aurora-Lakewood, CO",GET,Home,1535066380000.0,100,,200,1538370192000,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,101
293,Puddle Of Mudd,Logged In,Faigy,F,12,Howe,210.80771,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Psycho,200,1538370268000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
294,Memory Cassette,Logged In,Ainsley,F,67,Farley,255.99955,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Asleep At A Party,200,1538370296000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
295,,Logged In,Ainsley,F,68,Farley,,free,"McAllen-Edinburg-Mission, TX",GET,Upgrade,1538304455000.0,187,,200,1538370301000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
296,Ricky Martin,Logged In,Madison,F,8,Morales,279.48363,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Tal Vez,200,1538370400000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
297,Vilma Palma e Vampiros,Logged In,Faigy,F,13,Howe,289.82812,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Me vuelvo loco por vos,200,1538370478000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
298,Fate,Logged In,Ainsley,F,69,Farley,244.1922,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Limbo A Go Go,200,1538370551000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
299,Faithless,Logged In,Alex,M,45,Hogan,218.04363,free,"Denver-Aurora-Lakewood, CO",PUT,NextSong,1535066380000.0,100,Drifting Away,200,1538370562000,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,101
300,,Logged In,Alex,M,46,Hogan,,free,"Denver-Aurora-Lakewood, CO",PUT,Logout,1535066380000.0,100,,307,1538370563000,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,101
301,Base Ball Bear,Logged In,Madison,F,9,Morales,255.60771,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Sayonara-Nostalgia,200,1538370679000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
302,,Logged Out,,,47,,,free,,GET,Home,,100,,200,1538370681000,,
303,Kid Cudi / MGMT / Ratatat,Logged In,Faigy,F,14,Howe,295.67955,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Pursuit Of Happiness (nightmare),200,1538370767000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
304,"Weird Al"" Yankovic",Logged In,Ainsley,F,70,Farley,303.5424,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Angry White Boy Polka,200,1538370795000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
305,Lupe Fiasco,Logged In,Madison,F,10,Morales,182.69995,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Put You On Game (Explicit Album Version),200,1538370934000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
306,Pixies,Logged In,Faigy,F,15,Howe,166.68689,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Debaser (live),200,1538371062000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
307,,Logged In,Faigy,F,16,Howe,,paid,"Phoenix-Mesa-Scottsdale, AZ",GET,Settings,1538211832000.0,248,,200,1538371070000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
308,,Logged In,Faigy,F,17,Howe,,paid,"Phoenix-Mesa-Scottsdale, AZ",GET,Help,1538211832000.0,248,,200,1538371078000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
309,King Tubby,Logged In,Ainsley,F,71,Farley,142.21016,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Dub On My Mind Dub,200,1538371098000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
310,Erykah Badu,Logged In,Madison,F,11,Morales,225.90649,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Umm Hmm,200,1538371116000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
311,O'Rosko Raricim,Logged In,Faigy,F,18,Howe,90.56608,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Terre Promise,200,1538371228000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
312,Gorillaz,Logged In,Ainsley,F,72,Farley,192.91383,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Tomorrow Comes Today,200,1538371240000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
313,Bonnie Tyler,Logged In,Faigy,F,19,Howe,418.63791,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Total Eclipse Of The Heart,200,1538371318000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
314,,Logged In,Faigy,F,20,Howe,,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,Thumbs Up,1538211832000.0,248,,307,1538371319000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
315,Iron And Wine,Logged In,Madison,F,12,Morales,272.43057,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Pagan Angel and a Borrowed Car (Album),200,1538371341000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
316,,Logged In,Madison,F,13,Morales,,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,Thumbs Up,1536287099000.0,222,,307,1538371342000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
317,Rusted Root,Logged In,Ainsley,F,73,Farley,260.80608,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Hands Are Law,200,1538371432000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
318,Joni Mitchell,Logged In,Madison,F,14,Morales,183.64036,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Free Man In Paris  (LP Version),200,1538371613000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
319,Four Tet,Logged In,Ainsley,F,74,Farley,209.05751,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Hilarious Movie Of The 90s,200,1538371692000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
320,Tiziano Ferro,Logged In,Faigy,F,21,Howe,227.05587,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Il Regalo PiÃÂ¹ Grande,200,1538371736000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
321,Eminem,Logged In,Madison,F,15,Morales,320.83546,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Hailie's Song,200,1538371796000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
322,Cut Copy,Logged In,Ainsley,F,75,Farley,272.95302,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Time Stands Still,200,1538371901000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
323,,Logged In,Ainsley,F,76,Farley,,free,"McAllen-Edinburg-Mission, TX",GET,Roll Advert,1538304455000.0,187,,200,1538371928000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
324,Buckcherry,Logged In,Faigy,F,22,Howe,252.70812,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Sunshine (Album Version),200,1538371963000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
325,Sound 5,Logged In,Madison,F,16,Morales,350.32771,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,The Hacienda Must Be (Re:) Built,200,1538372116000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
326,,Logged In,Grant,M,0,Flores,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1538120859000.0,141,,200,1538372121000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
327,The Kooks,Logged In,Grant,M,1,Flores,169.45587,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1538120859000.0,141,Love It All,200,1538372142000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
328,The Car Is On Fire,Logged In,Ainsley,F,77,Farley,218.69669,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Manuel,200,1538372173000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
329,K'naan / Chubb Rock,Logged In,Faigy,F,23,Howe,189.64853,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,ABC's,200,1538372215000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
330,Delirious,Logged In,Anika,F,0,Osborne,457.19465,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1533192032000.0,255,Dance Flow,200,1538372289000,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",13
331,Plasmatics,Logged In,Grant,M,2,Flores,256.7571,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1538120859000.0,141,The Damned,200,1538372311000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
332,Escape The Fate,Logged In,Ainsley,F,78,Farley,210.57261,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,We Won't Back Down,200,1538372391000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
333,Kevin Blechdom,Logged In,Faigy,F,24,Howe,222.56281,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Running Away,200,1538372404000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
334,B.o.B,Logged In,Madison,F,17,Morales,269.63546,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Nothin' On You [feat. Bruno Mars] (Album Version),200,1538372466000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
335,Alliance Ethnik,Logged In,Grant,M,3,Flores,195.94404,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1538120859000.0,141,SinceritÃÂ© Et Jalousie,200,1538372567000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
336,Aly,Logged In,Ainsley,F,79,Farley,532.84526,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Rosaires,200,1538372601000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
337,Benny Benassi Presents The Biz,Logged In,Faigy,F,25,Howe,285.54404,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Satisfaction,200,1538372626000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
338,Jimmy Needham,Logged In,Madison,F,18,Morales,212.27057,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Forgiven And Loved,200,1538372735000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
339,Osvaldo Pugliese,Logged In,Anika,F,1,Osborne,173.24363,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1533192032000.0,255,Canaro En Paris,200,1538372746000,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",13
340,Tears For Fears,Logged In,Grant,M,4,Flores,361.29914,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1538120859000.0,141,Change,200,1538372762000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
341,Ray LaMontagne,Logged In,Faigy,F,26,Howe,344.86812,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Forever My Friend,200,1538372911000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
342,,Logged In,Faigy,F,27,Howe,,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,Thumbs Up,1538211832000.0,248,,307,1538372912000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
343,Doc Watson,Logged In,Anika,F,2,Osborne,134.03383,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1533192032000.0,255,I'm Going Back To The Old Home,200,1538372919000,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",13
344,Marc Anthony,Logged In,Isobella,F,0,Wright,289.4624,free,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1536398117000.0,44,Valio La Pena,200,1538372920000,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",45
345,Flyleaf,Logged In,Madison,F,19,Morales,194.92526,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Set Apart This Dream,200,1538372947000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
346,Dominique A,Logged In,Anika,F,3,Osborne,153.20771,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1533192032000.0,255,Le Courage Des Oiseaux,200,1538373053000,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",13
347,,Logged In,Anika,F,4,Osborne,,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,Add to Playlist,1533192032000.0,255,,200,1538373080000,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",13
348,B5,Logged In,Grant,M,5,Flores,189.36118,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1538120859000.0,141,Heartbreak,200,1538373123000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
349,The Futureheads,Logged In,Ainsley,F,80,Farley,120.81587,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Robot,200,1538373133000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
350,,Logged In,Ainsley,F,81,Farley,,free,"McAllen-Edinburg-Mission, TX",PUT,Thumbs Down,1538304455000.0,187,,307,1538373134000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
351,Jordan Francis/Roshon Bernard Fegan,Logged In,Madison,F,20,Morales,155.01016,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Hasta La Vista,200,1538373141000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
352,,Logged In,Grant,M,6,Flores,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Roll Advert,1538120859000.0,141,,200,1538373147000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
353,The Smiths,Logged In,Anika,F,5,Osborne,138.44853,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1533192032000.0,255,Frankly_ Mr. Shankly,200,1538373206000,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",13
354,Daft Punk,Logged In,Isobella,F,1,Wright,297.89995,free,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1536398117000.0,44,Digital Love,200,1538373209000,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",45
355,The Killers,Logged In,Ainsley,F,82,Farley,229.0673,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Bones,200,1538373253000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
356,JoÃÂ£o Gilberto,Logged In,Faigy,F,28,Howe,249.25995,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,Bolinha De Papel,200,1538373255000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
357,,Logged In,Faigy,F,29,Howe,,paid,"Phoenix-Mesa-Scottsdale, AZ",GET,Downgrade,1538211832000.0,248,,200,1538373286000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
358,Days Of The New,Logged In,Madison,F,21,Morales,353.27955,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,Provider,200,1538373296000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
359,Plies,Logged In,Grant,M,7,Flores,278.22975,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1538120859000.0,141,Somebody (Loves You) (Explicit Album Version),200,1538373312000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
360,Story Of The Year,Logged In,Anika,F,6,Osborne,235.78077,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1533192032000.0,255,Until The Day I Die (Album Version),200,1538373344000,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",13
361,,Logged In,Anika,F,7,Osborne,,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,Logout,1533192032000.0,255,,307,1538373345000,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",13
362,,Logged Out,,,8,,,free,,GET,Home,,255,,200,1538373351000,,
363,,Logged Out,,,9,,,free,,PUT,Login,,255,,307,1538373352000,,
364,,Logged In,Anika,F,10,Osborne,,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",GET,Home,1533192032000.0,255,,200,1538373384000,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",13
365,Flamin' Groovies,Logged In,Ainsley,F,83,Farley,299.65016,free,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1538304455000.0,187,Slow Death,200,1538373482000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",78
366,Kode9,Logged In,Faigy,F,30,Howe,369.47546,paid,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1538211832000.0,248,2 Far Gone,200,1538373504000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,95
367,The Prodigy,Logged In,Isobella,F,2,Wright,225.09669,free,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1536398117000.0,44,Firestarter,200,1538373506000,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",45
368,,Logged In,Isobella,F,3,Wright,,free,"Atlanta-Sandy Springs-Roswell, GA",PUT,Logout,1536398117000.0,44,,307,1538373507000,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",45
369,,Logged Out,,,4,,,free,,GET,Home,,44,,200,1538373513000,,
370,Yeasayer,Logged In,Grant,M,8,Flores,298.91873,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1538120859000.0,141,Red Cave,200,1538373590000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
371,,Logged In,Grant,M,9,Flores,,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,Add to Playlist,1538120859000.0,141,,200,1538373622000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
372,Dwight Yoakam,Logged In,Madison,F,22,Morales,239.3073,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1536287099000.0,222,You're The One,200,1538373649000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",25
373,,Logged In,Grant,M,10,Flores,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Upgrade,1538120859000.0,141,,200,1538373718000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",142
